,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
442,P177,Beaufort,Sabah,Azizah Mohd Dun,12827,49.4,BN,UMNO,672,Lajim Ukin,,IND,30097,,8.0,,,61.0,30.0,25949,86.2,559,1.9
443,P178,Sipitang,Sabah,Sapawi Ahmad,16377,67.3,BN,UMNO,9469,Sapawi Ahmad,BN,UMNO,29177,,4.0,,,58.0,36.0,24329,83.4,539,1.8
444,P178,Sipitang,Sabah,Kamis Daming,505,2.1,,SAPP,9469,Sapawi Ahmad,BN,UMNO,29177,,4.0,,,58.0,36.0,24329,83.4,539,1.8
445,P178,Sipitang,Sabah,Ramle Dua,6908,28.4,PR,PKR,9469,Sapawi Ahmad,BN,UMNO,29177,,4.0,,,58.0,36.0,24329,83.4,539,1.8
446,P179,Ranau,Sabah,Yazid Sahjinan,914,2.9,,IND,3611,Siringan Gubat,BN,UPKO,39053,,2.0,,,11.0,87.0,31396,80.4,666,1.7
447,P179,Ranau,Sabah,Ulianah Situn,2559,8.2,,STAR,3611,Siringan Gubat,BN,UPKO,39053,,2.0,,,11.0,87.0,31396,80.4,666,1.7
448,P179,Ranau,Sabah,Jonathan Yasin,11823,37.7,PR,PKR,3611,Siringan Gubat,BN,UPKO,39053,,2.0,,,11.0,87.0,31396,80.4,666,1.7
449,P179,Ranau,Sabah,Ewon Ebin,15434,49.2,BN,UPKO,3611,Siringan Gubat,BN,UPKO,39053,,2.0,,,11.0,87.0,31396,80.4,666,1.7
450,P180,Keningau,Sabah,Geoffrey Gapari Kitingan,11900,33.0,,STAR,3918,Joseph Pairin Kitingan,BN,PBS,43691,,10.0,,,18.0,70.0,36098,82.6,555,1.3
451,P180,Keningau,Sabah,Joseph Pairin Kitingan,15818,43.8,BN,PBS,3918,Joseph Pairin Kitingan,BN,PBS,43691,,10.0,,,18.0,70.0,36098,82.6,555,1.3
452,P180,Keningau,Sabah,Stephen Sandor,7825,21.7,PR,PKR,3918,Joseph Pairin Kitingan,BN,PBS,43691,,10.0,,,18.0,70.0,36098,82.6,555,1.3
453,P181,Tenom,Sabah,Hasmin Abdullah,2449,11.7,,STAR,3886,Raime Unggi,BN,UMNO,25304,,12.0,,,21.0,66.0,20926,82.7,632,2.5
454,P181,Tenom,Sabah,Raime Unggi,9771,46.7,BN,UMNO,3886,Raime Unggi,BN,UMNO,25304,,12.0,,,21.0,66.0,20926,82.7,632,2.5
455,P181,Tenom,Sabah,Jaineh Juaya,1766,8.4,,SAPP,3886,Raime Unggi,BN,UMNO,25304,,12.0,,,21.0,66.0,20926,82.7,632,2.5
456,P181,Tenom,Sabah,Mutang Dawat,423,2.0,,KITA,3886,Raime Unggi,BN,UMNO,25304,,12.0,,,21.0,66.0,20926,82.7,632,2.5
457,P181,Tenom,Sabah,Masdin Tumas,5885,28.1,PR,PKR,3886,Raime Unggi,BN,UMNO,25304,,12.0,,,21.0,66.0,20926,82.7,632,2.5
